,name,count
211,미숫가루(선식)음료,447
272,누룽지,444
257,"칼국수,해물",435
351,오징어채무침,434
267,콩국수,432
233,오징어볶음,431
238,순두부찌개,429
169,냉이나물,428
282,마늘,428
262,"해장국,뼈다귀",428
232,배추나물,428
192,수박,423
223,우동,421
204,수제비,418
264,"고추조림,고추만",415
288,"묵무침,도토리묵",409
239,토마토,409
287,"잡곡밥,서리태",405
190,어묵볶음,403
202,"매운탕,아귀",402
234,홍어회무침,402
242,김치전,396
194,영양돌솥밥,395
210,조기찜,394
279,"김치찌개,참치",390
401,"닭튀김,양념",385
271,"된장국,고디(다슬기)",384
270,건새우볶음,380
281,오리백숙,372
199,녹두빈대떡,368
181,오이지,367
443,"돼지고기볶음,김치",365
198,라면(대표),364
372,콩밥(대표),363
294,호두,361
313,마늘장아찌,360
566,마늘쫑볶음(마늘쫑만),356
253,아귀찜,356
265,야채주스,355
218,"라면,달걀",352
300,"죽,닭죽",349
445,부대찌개,344
314,참나물,341
274,"죽,채소죽",341
350,아몬드,340
597,"북어국,달걀",340
193,"완자전,돼지고기",340
245,가자미구이,339
327,해독주스,339
343,오리고기로스,338
441,설렁탕,335
335,간장,333
269,"북어국,콩나물",332
165,코다리조림,332
295,"감자볶음,채소",324
237,"된장국,냉이",324
432,오징어국,324
345,양배추,324
326,"된장국,무",322
320,"장어구이,양념",320
241,"된장찌개,소고기",318
366,"장조림,소고기(소고기만)",318
336,땅콩,317
312,섞어찌개(모듬찌개),315
311,배,314
284,토마토주스,314
352,씀바귀나물,312
224,갈치찌개,311
230,"순두부찌개,해물",310
373,서더리탕,308
280,달걀말이,308
208,산나물,304
236,버섯조림,303
430,"미역국,홍합",303
278,갓김치,302
428,"된장찌개,게,해물",300
466,생선지리,298
205,"갈치조림,갈치만",297
338,"콩밥,강낭콩",296
426,라면(라면만),293
302,"코다리조림,코다리만",290
329,오이,289
368,감자볶음,289
374,"만두,고기만두",287
301,육회,286
411,깻잎김치,283
290,오징어무침,280
277,두릅무침,280
325,고추장아찌,277
379,채소밥(무밥),274
222,"콩나물무침,고춧가루제외",273
384,파프리카,271
240,"국수,모밀국수",269
283,오렌지,269
292,달걀찜,268
298,"된장국,근대",268
319,"파래무침,무",265
171,"시금치나물,고춧가루제외",261
259,어묵조림,261
247,"김치국,콩나물",260
548,"김치찌개,꽁치",260
512,"만두국,고기만두",259
307,고추튀김,258
191,죽순볶음,258
415,토란국,257
183,"볶음밥,채소",257
358,막걸리,255
353,단무지,255
321,달걀조림,252
243,"된장국,왜된장국,미소된장국",249
273,파,249
355,체리토마토,246
305,소고기볶음,245
228,"달걀찜,새우젓",244
361,"미역국,바지락",243
375,들깻잎,240
532,마늘쫑무침,240
