,음식코드명
생크림,9
화채,9
과메기,9
"샌드위치,미트볼",9
"빵,피자빵",9
"빵,꽃빵",9
"국밥,소머리",8
"고추장찌개,북어",8
버섯찜,8
임연수조림,8
돼지껍데기구이,8
조기젓,8
"명태,조미포",8
"감자,해쉬브라운",8
"매운탕,붕어",8
"빵,슈크림빵",8
"달걀말이,채소,부추",8
"도라지생채,오징어채",8
살구,8
"복숭아,통조림",8
새송이버섯,8
"딸기,넥타",8
"냉채,두부",8
도루묵조림,8
땅콩버터,7
홍합초,7
수정과,7
"커피,카페모카,휘핑크림",7
쌀음료,7
양주,7
"옥수수,통조림",7
복분자주스,7
오믈렛,7
머위,7
"취나물무침,고춧가루",7
옥수수부침,7
키위주스,7
가지,7
"떡국,굴",7
"스프,조미스프",7
"묵무침,도토리묵,김치",7
깻잎튀김,7
나라쓰게,6
"자두,말린것",6
장어튀김,6
"부추무침,초무침",6
연어구이,6
빙어,6
"빵,버터크림빵",6
"스프,인스턴트",6
대추음료,6
"비름나물,고춧가루",6
"꼬치구이,닭염통",6
분말음료,6
자몽,6
"김치국,수제비",6
"굴무침,무제외",6
"또띠아,난",6
마늘장아찌무침,6
마늘음료,6
"덮밥,장어",6
수박화채,6
비트,6
"잡곡밥,기장",6
"버섯구이,버섯",6
산딸기,6
"샐러드,달걀",6
당귀,6
"감자볶음,멸치",6
"죽,땅콩죽",6
호박차,6
쑥갓나물(쑥갓만),6
"김치찌개,어묵",6
어묵전,6
겨자잎,6
무화과,6
"매운탕,게",6
"열대과일,말린것",6
전갱어구이,6
"꼴뚜기젓,양념",6
"커피,카페모카",6
전어구이,6
쥐포구이,5
가리비(패주),5
굴,5
"미역국,대합",5
방아,5
"주먹밥,김치",5
"오리알,피단",5
호박떡,5
"빵,롤빵",5
양갱,5
"죽,굴죽",5
"골뱅이,통조림",5
"떡,개피떡",5
미숫가루(선식),5
연근튀김,5
파인애플주스,5
메추라기알,5
참치튀김,5
"대두,콩가루",5
"튀각,미역",5
"연어,훈제품",4
모과차,4
무짠지,4
유채,4
"빵,옥수수빵",4
인삼,4
농어,4
"멸치튀김,미꾸라지튀김",4
"죽,옥수수죽",4
"콩나물무침,당근",4
매실주,4
오리찜,4
곰취,4
녹즙,4
한방차,4
셀러리,4
올리브유,4
주꾸미,4
명일엽(신선초),4
가재,4
갈매기살구이,4
마늘쫑,4
날치알,4
노가리구이,4
"떡,무지개떡",4
"버섯구이,표고",4
김국,4
갈릭소스,4
머쉬멜로우,4
"밤,통조림",4
연근,3
알로에,3
푸딩,3
"파이,고구마파이",3
"죽,잣죽",3
새싹,3
"떡,경단",3
맛살,3
"빵,야채빵,밤빵",3
서대찜,3
돌나물,3
이유식,3
한방주,3
"햄,맛살볶음",3
은대구구이,3
한치,3
"돔,참돔",3
"버섯구이,느타리",3
송화가루,3
참치구이,3
안흥찐빵,3
"국수,동치미",3
커스터드,3
도다리구이,3
개불,3
쌈추,3
삼씨(헴프씨드),3
오가피즙,3
죽상어구이,3
"양파,어니언링",2
"사과,말린것",2
열무,2
고춧가루,2
프레즐,2
식빵튀김,2
"돔,옥돔",2
가자미회,2
모나카,2
츄러스,2
표고버섯,2
우롱차,2
숭어구이,2
병어,2
"케이크,스폰지케이크",2
"장어,붕장어(아나고)",2
파강회,2
코코넛,2
"빵,깨찰빵",2
곤약,2
연유,2
"죽,율무죽",2
"청국장,분말",2
송어,2
"스프,옥수수스프",2
라이스페이퍼,2
"무,무순",2
고추기름,2
토란,2
코코넛밀크,2
해삼,2
소내장,2
청어구이,2
"파이,피칸파이",2
"수육,도가니",2
양태구이,2
"빵,건포도빵",1
"백김치,무",1
"빵,비스킷빵",1
"우뭇가사리,우무",1
"자두,넥타",1
도다리,1
쌀빵,1
"죽,대합",1
번데기,1
대구포,1
숙주,1
칵테일,1
성게,1
아스파라거스,1
상어,1
델리만쥬,1
꽃양배추(콜리플라워),1
석류,1
복분자주,1
"쌈,우엉쌈",1
다래,1
"황새기젓,양념",1
바지락,1
시금치,1
"빵,감자빵",1
방어,1
피조개,1
"소스,스파게티",1
식이섬유음료,1
마아가린,1
고들빼기잎,1
금귤(낑깡),1
"후르츠칵테일,통조림",1
감장아찌,1
"열대과일,생것",1
"떡,쑥개피떡",1
용과,1
"소고기,간",1
시나몬롤,1
"스프,소고기스프",1
샴페인,1
해선장(호이신소스),1
뽕잎,1
람부탄,1
해초,1
"돼지고기,허파",1
