,음식코드명
"매운탕,해물",299
"초밥,유부초밥",298
콩국수,297
"죽,소고기죽",296
"북어국,무",295
"땅콩조림(땅콩자반,땅콩만)",294
닭구이,293
"샐러드,옥수수",293
꽃게탕,293
간장,293
오리탕,292
삼계탕,292
"죽,호박죽",290
설렁탕,290
"국밥,콩나물",288
"갈비찜,돼지,매운양념",286
코다리찜,283
닭튀김,283
"된장찌개,강된장",281
참나물,281
고추장,279
소고기볶음,278
"라면,자장면",278
달걀찜,277
"된장국,우거지",277
녹두빈대떡,276
가자미조림,276
"볶음밥,소고기",276
숙주나물,276
생선초밥,275
"미나리나물,간장,소금",274
"버섯볶음,새송이",273
"묵무침,청포묵",273
두부찌개,272
달걀조림,272
마파두부,271
팥빙수,271
"불고기,버섯",270
"초밥,광어",264
"제육,돼지고기",263
누룽지,261
파김치,260
꽁치조림,258
닭발볶음,257
"묵무침,도토리묵",256
깻잎찜,254
마늘쫑볶음(마늘쫑만),252
"청국장찌개,배추김치",252
"고추조림,고추만",251
마늘쫑무침,250
"갈비찜,소",248
조개국(조개탕),244
스크램블드에그,242
아몬드,241
돼지고기찌개,238
"된장국,근대",238
"시래기나물,간장,소금",238
콩조림(콩자반),238
기름장,237
취나물무침,236
"부추무침,채소",235
갈치조림,234
"오이생채,부추",233
"요구르트,액상",232
"냉국,미역,오이(미역오이만)",232
김치국,232
"떡국,달걀,채소",232
야채주스,231
사이다,231
"생선전,동태",230
"돼지고기볶음,오징어",229
"냉국,오이",227
"북어국,콩나물",227
"부추전,해물",226
"장조림,돼지고기",226
알밥,225
김무침,224
빙과류,224
"고추조림,멸치",223
감자국,222
체리토마토,220
"콩나물무침,고춧가루",219
"된장찌개,해물",219
"닭볶음(닭갈비),치즈",219
"샐러드,닭삶은것",218
"비빔밥,소고기",218
"소고기볶음,채소",216
건새우볶음(건새우만),216
쟁반짜장,216
"미역국(미역만),들깨",215
매운탕,215
"만두,김치만두",215
"된장찌개,게,해물",215
배,213
"묵무침,도토리묵,채소",212
호박찌개,210
"국수,쟁반국수",208
"커피,카페라떼",207
동치미,206
"라면,비빔면",206
도미찜,205
오이,205
"햄버거,치킨버거",204
오징어무침,204
김말이튀김,204
"커피,캔커피",204
함박스테이크,201
"묵무침,도토리묵(묵만)",201
"만두국,고기만두",201
"볶음밥,김치,돼지고기",201
선짓국,200
완자전,199
"초밥,참치",198
닭곰탕(닭국),198
씀바귀나물,196
나박김치,195
양파장아찌,195
서더리탕,195
"소스,고기용",194
감자수제비,192
토마토케찹,192
"풋고추된장무침,오이고추",192
"버섯볶음,느타리,채소",191
토마토,191
"마늘쫑볶음,멸치",189
김치찌개(김치만),189
내장구이(곱창구이),189
콩밥(대표),189
"곱창볶음,돼지",188
호두,187
"버섯볶음,표고(표고만)",187
토란국,186
"매운탕,우럭",186
파프리카,185
홍어회무침,185
"빵,식빵",184
"장어구이,양념",183
"장조림,돼지고기(돼지고기만)",183
"샐러드,감자",182
더덕구이,182
"만두,군만두",181
토마토주스,181
된장,181
깻잎김치,181
갈치찌개,181
"장조림,소고기(소고기만)",180
화양적,180
"김밥,날치알",180
죽순볶음,180
떡만두국,179
쥐포볶음,179
만두국,179
"갈치조림,무",179
"옥수수,찐옥수수,군옥수수",179
생선까스,178
"떡만두국,김치만두",178
"새우젓,양념",178
두부국,177
"스테이크,등심",177
버섯조림,176
생선지리,174
육회,174
양배추,174
"커피,카페라떼,아이스,시럽",174
"매운탕,복",174
"꽃게장,고추가루",174
"샐러드,닭고기",171
"베이컨구이,떡말이",171
"순대볶음,곱창",171
채소밥(무밥),171
"미역국,홍합",168
"콩나물무침,당근,고춧가루",168
오리백숙,167
보신탕,166
고등어찌개,165
오이지,165
"김밥,김치",164
고추튀김,164
물회,164
새우튀김,163
사탕,163
버섯전,162
"잡채,돼지고기",161
마늘장아찌,160
두부전,160
고구마튀김,160
단무지무침,159
"어묵국(어묵탕),고춧가루",158
"미역국,바지락",158
"코다리조림,코다리만",157
"소고기볶음,버섯",156
"대구찜,민어찜",156
"버섯볶음,새송이(새송이만)",154
치즈,153
곤드레밥,153
갓김치,151
"콩조림,콩자반(메주콩포함)",151
김치국(김치만),150
미나리나물,150
가오리찜,150
초콜릿,150
오이피클,150
햄채소볶음,148
"버섯볶음,새송이,채소",147
"비름나물,간장,소금",146
"매운탕,메기",145
"스파게티,미트소스",144
시래기나물,144
스파게티,143
"감자,찐감자,구운감자",143
오므라이스,143
"겉절이,얼갈이배추",143
"떡국,소고기",142
감자볶음,142
"된장국,쑥",141
"골뱅이무침,채소",141
"감자,후렌치후라이",140
"콩나물무침,고춧가루제외",140
"미역국,조개",140
오곡밥,140
두릅무침,140
젤리,139
해초무침,138
쨈,138
오이소박이,138
"오징어젓,양념",137
알탕,137
"샌드위치,햄,치즈",136
"장어구이,소금",135
배추,135
땅콩,135
"잡채,버섯",134
"불고기,돼지고기,고추장",133
두부,133
감자튀김,133
초코파이,133
